Abandon give up
Abbreviate shorten
Abundant plentiful
Accelerate speed up
Accommodate fit in
Accumulate gather
Acquaintance familiar person
Adversity hardship
Advocate support
Aesthetic artistic
Affectionate loving
Agile nimble
Alleviate ease
Allusion reference
Ambiguous unclear
Amicable friendly
Anecdote short story
Animated lively
Anxious worried
Appreciate value
Articulate well spoken
Aspiration ambition
Assertion statement
Astute clever
Authentic genuine
Aversion dislike
Banal unoriginal
Benevolent kind
Bewilder confuse
Blatant obvious
Bliss happiness
Bountiful plentiful
Bravery courage
Brevity conciseness
Calm peaceful
Candid honest
Capable competent
Capture seize
Careful cautious
Caring compassionate
Cautious careful
Celebrate rejoice
Censorship suppression
Challenge test
Champion advocate
Charitable generous
Charming attractive
Cherish treasure
Clever intelligent
Comfort ease
Commend praise
Compassion empathy
Competent capable
Compliment praise
Concentration focus
Confidence self assurance
Confidential secret
Conformity compliance
Confuse perplex
Congenial friendly
Consistent steady
Contentment satisfaction
Courage bravery
Creative imaginative
Credible believable
Cunning crafty
Curious inquisitive
Daring bold
Dazzle impress
Debate argue
Decisive conclusive
Dedicated committed
Delicate fragile
Delight joy
Determined resolute
Devotion dedication
Diligent hardworking
Discretion caution
Discrimination prejudice
Diverse varied
Dramatic theatrical
Dynamic energetic
Eager enthusiastic
Earnest sincere
Ease comfort
Ecstasy rapture
Efficient productive
Elegant graceful
Eloquent articulate
Embrace hug
Emerging developing
Empathy understanding
Energetic lively
Engage involve
Enlighten inform
Enthusiastic eager
Ephemeral fleeting
Epiphany realization
Equal equivalent
Erase delete
Essential fundamental
Eternal everlasting
Ethical moral
Evaluate assess
Evoke arouse
Exalt praise
Excellent outstanding
Excite thrill
Exemplary commendable
Exhilarating exciting
Expand enlarge
Expedite accelerate
Expertise skill
Explore investigate
Expressive communicative
Exquisite beautiful
Exult rejoice
Fabulous fantastic
Faith belief
Familiar well known
Fascinate captivate
Favorable advantageous
Fearless brave
Feasible possible
Felicitous fortunate
Fidelity loyalty
Flexible adaptable
Flourish thrive
Fond affectionate
Forbidden prohibited
Forgive pardon
Fortitude courage
Fortunate lucky
Fragile delicate
Frugal economical
Fulfill achieve
Gallant courageous
Generous giving
Genuine authentic
Glamorous attractive
Glorious splendid
Graceful elegant
Gracious courteous
Grand impressive
Grateful thankful
Great excellent
Gregarious sociable
Grit determination
Guidance direction
Happy joyful
Harmonious peaceful
Honest truthful
Hopeful optimistic
Humble modest
Humility modesty
Ideal perfect
Imaginative creative
Impartial unbiased
Important significant
Impressive striking
Incredible unbelievable
Indulgent lenient
Ingenious clever
Innovative creative
Inspire motivate
Integrity honesty
Intelligent smart
Intense extreme
Intrepid fearless
Inventive creative
Invigorate energize
Invincible unbeatable
ink colour
Jovial cheerful
Joyful happy
Judicious wise
Just fair
Keen sharp
Kind compassionate
Knowledgeable informed
Laudable praiseworthy
Leader guide
Liberate free
Lively energetic
Love affection
Loyal faithful
Lucid clear
Luminous bright
Magnificent splendid
Marvelous wonderful
Masterful skilled
Mature adult
Mediate negotiate
Meditate contemplate
Merciful compassionate
Methodical systematic
Mindful attentive
Modest humble
Motivate inspire
Natural innate
Noble honorable
Nurturing supportive
Objective impartial
Observant attentive
Optimistic hopeful
Orderly organized
Original innovative
Outstanding exceptional
Passionate intense
Patience endurance
Peaceful calm
Perfect flawless
Persevere persist
Persistent tenacious
Perspective viewpoint
Pioneering innovative
Polite courteous
Popular well liked
Positive optimistic
Potential possibility
Powerful strong
Precious valuable
Precise accurate
Preferred favored
Prepared ready
Present now
Pride self respect
Prime optimal
Principled ethical
Proactive assertive
Productive efficient
Professional skilled
Proficient skilled
Proud confident
Pure untainted
Purposeful intentional
Quality excellence
Quick fast
Radiant glowing
Rational logical
Realistic practical
Reasonable sensible
Refined cultured
Reflective thoughtful
Reliable trustworthy
Resilient tough
Resolute determined
Respectful courteous
Responsible accountable
Responsive reactive
Reverent respectful
Revolutionary innovative
Rewarding fulfilling
Robust strong
Sagacious wise
Satisfying gratifying
Sensible practical
Sensitive perceptive
Serene tranquil
Service assistance
Significant important
Sincere genuine
Skillful proficient
Smart intelligent
Sophisticated refined
Soothing calming
Sparkling glittering
Spiritual religious
Spontaneous impulsive
Stable steady
Steadfast unwavering
Stimulating exciting
Strategic planned
Strengthen reinforce
Strive endeavor
Strong powerful
Stylish fashionable
Sublime magnificent
Successful prosperous
Supportive helpful
Surpass exceed
Sustainable enduring
Sympathetic compassionate
Talented gifted
Tenacious persistent
Terrific fantastic
Thankful grateful
Thoughtful considerate
Thrilling exciting
Timely punctual
Tolerant accepting
Tranquil peaceful
Transparent clear
Trustworthy reliable
Truthful honest
Understanding empathetic
Unique distinctive
Unlimited boundless
Unstoppable relentless
Upbeat optimistic
Valiant brave
Vibrant lively
Victorious triumphant
Vigilant watchful
Visionary innovative
Vital essential
Vivacious lively
Warm affectionate
Wealthy rich
Wholesome healthy
Wise sage
Wonderful marvelous
Worthy deserving
Youthful young
Zeal enthusiasm
Zenith peak


zoo space
exit leave
